EXP,PED,HYB,SRC,GROUP,Plot,REP,Range,Row,PDT,DTA,DTS,HDT,PHT,EHT,STC,RLD,SLD,MAH,TWT,GWT,YLD,MST,PROT,OIL,FIB,STA,ASH,DEN
ORG_YieldTrial2022,B73*PHG39-B-B-25-1-1-B-B X PHG35*PHG47-B-B-20-1-1-B-B,UIUC116,2019MOB_CONV,NIFABOT19,1187,2,13,35,5/31/2022,62,66,10/20/2022,189,83,NA,0,0,23.4,49.6,13.67,124.9191162,7.845,6.3,3.855,1.95,68.53,1.04,1.255
ORG_YieldTrial2022,[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01I01,ISU013,19SJWE:BREED:23018/23016 B,ISU,1185,2,12,37,5/31/2022,62,67,10/20/2022,193,90,NA,0,0,26,47.8,13.58,124.3989998,7.45,6.01,4.14,2.18,68.75,1.11,1.23
ORG_YieldTrial2022,B73*PH207,ILORG0011,2019MOB_ORG,ORGOREI,1058,1,5,25,5/31/2022,54,62,10/20/2022,190,104,NA,0,0,20.6,51.7,13.62,123.7714168,7.53,7.46,4.4,1.42,66.15,1.07,1.3
ORG_YieldTrial2022,B73*PHG39-B-B-20-1-1-B-B X PHG35*PHG47-B-B-14-1-1-B-B,UIUC110,2019MOB_CONV,NIFABOT19,1133,2,9,7,5/31/2022,62,65,10/20/2022,211,107,NA,0,0,16.8,55.9,14.05,123.7374432,7.69,6.6,2.92,1.7,68.66,1.02,1.28
ORG_YieldTrial2022,PHHB9*PHM49,ILORG0001,2019MOB_ORG,ORGOREI,1028,1,3,17,5/31/2022,60,64,10/20/2022,195,83,NA,0,0,25.1,48.7,13.44,122.3109729,8.03,6.51,3.67,1.89,68.24,1.08,1.26
ORG_YieldTrial2022,LH244*PHN82,LH244*PHN82,ILH1,HIP,1081,1,6,29,5/31/2022,59,64,10/20/2022,180,75,NA,0,0,24.6,49,13.41,122.100471,7.3,5.98,3.15,1.79,70.03,1.1,1.28
ORG_YieldTrial2022,LH244*PHN82,LH244*PHN82,ILH1,HIP,1109,2,8,21,5/31/2022,61,65,10/20/2022,180,83,NA,0,0,25.2,48.6,13.34,121.4882996,7.53,6.27,3.52,1.73,68.75,1.11,1.28
ORG_YieldTrial2022,B73*PHG84,ILORG0010,2019MOB_ORG,ORGOREI,1143,2,10,21,5/31/2022,61,64,10/20/2022,200,92,NA,0,0,26.2,48,13.31,121.089497,7.44,6.26,4.46,1.92,68.09,1.15,1.25
ORG_YieldTrial2022,B73*PHG39-B-B-52-1-1-B-B X PHG35*PHG47-B-B-1-1-1-B-B,UIUC205,2019MOB_CONV,NIFATOP19,1188,2,13,33,5/31/2022,58,61,10/20/2022,156,63,NA,0,1,17.2,55.2,13.64,121.0650888,7.75,7.58,3.67,1.59,67.93,1.04,1.28
ORG_YieldTrial2022,B73*PHG39-B-B-66-1-1-B-B X PH207*PHG47-B-B-29-1-1-B-B,UIUC202,2019MOB_CONV,NIFATOP19,1121,2,9,31,5/31/2022,53,58,10/20/2022,181,81,NA,0,1,17,55,13.53,120.816568,6.97,7.26,4.96,2.14,66.4,1.26,1.23
