LOC,HYB,BLUP
CRL06,ISU076,167.8543013
CRL06,ISU077,164.3412829
CRL06,ISU078,168.6364025
CRL06,ISU079,173.5815276
CRL06,ISU081,169.9143453
CRL06,ISU082,162.0463194
CRL06,ISU083,162.9244843
CRL06,UIUC500,161.2273045
CRL06,UIUC502,157.4814672
CRL06,UIUC515,166.3748134
CRL06,UIUC518,131.8886077
CRL06,UIUC523,153.5413495
CRL06,UIUC524,170.5711376
CRL06,UIUC526,130.7859696
CRL06,UIUC539,159.3729886
CRW14,CHECK1,176.6576013
CRW14,CHECK2,174.2022806
CRW14,ISU001,170.8239909
CRW14,ISU002,165.9279782
CRW14,ISU003,163.8755634
CRW14,ISU004,168.5264929
CRW14,ISU005,163.2250255
CRW14,ISU006,169.0464088
CRW14,ISU007,167.8227896
CRW14,ISU008,161.7120602
CRW14,ISU009,169.4856076
CRW14,ISU010,170.6573428
CRW14,ISU011,178.9417807
CRW14,ISU012,174.0685054
CRW14,ISU013,164.3438425
CRW14,ISU014,160.2400254
CRW14,ISU015,164.8977784
CRW14,ISU016,162.6432107
CRW14,ISU017,166.9063168
CRW14,ISU018,166.9416446
CRW14,ISU019,164.7789655
CRW14,ISU020,167.9604132
CRW14,ISU021,171.7091445
CRW14,ISU022,158.1852647
CRW14,ISU023,169.1159774
CRW14,ISU024,162.2454722
CRW14,ISU025,157.6599
CRW14,ISU026,158.7445414
CRW14,ISU027,171.1620488
CRW14,ISU028,162.7678993
CRW14,ISU029,173.5365876
CRW14,ISU030,166.5242214
CRW14,ISU031,157.3927254
CRW14,ISU032,170.8782159
CRW14,ISU033,152.6948606
CRW14,ISU034,167.4718679
CRW14,ISU035,160.3609654
CRW14,ISU036,162.1573162
CRW14,ISU037,169.2177216
CRW14,ISU038,163.0380699
CRW14,ISU039,160.8944278
CRW14,ISU040,160.0788166
CRW14,ISU041,161.6233816
CRW14,ISU042,168.0485959
CRW14,ISU043,159.2439054
CRW14,ISU044,162.8191233
CRW14,ISU045,159.6466061
CRW14,ISU046,166.0544647
CRW14,ISU047,160.2536021
CRW14,ISU048,166.1277426
CRW14,ISU049,166.8949349
CRW14,ISU050,176.2417399
CRW14,ISU051,158.0289166
CRW14,ISU052,165.1718789
CRW14,ISU053,156.8422006
CRW14,ISU054,161.0803516
CRW14,ISU055,154.032322
CRW14,ISU056,169.1518592
CRW14,ISU057,163.4702131
CRW14,ISU058,172.5674939
CRW14,ISU059,162.9541431
CRW14,ISU060,175.6796733
CRW14,ISU061,169.8542964
CRW14,ISU062,175.2710424
CRW14,ISU063,160.2951402
CRW14,ISU064,160.5999997
CRW14,ISU065,174.7239634
